scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Toxidia peron,1,2018,10,Queensland,Hesperiidae,Toxidia,-28.137384,153.485571
Eurema hecabe,6,2020,6,Queensland,Pieridae,Eurema,-17.9795,144.0423
Nacaduba kurava,2,2019,11,Queensland,Lycaenidae,Nacaduba,-27.497664,153.012787
Catopsilia pomona,3,2020,4,Queensland,Pieridae,Catopsilia,-17.4254,145.4416
Eurema hecabe,2,2020,9,Queensland,Pieridae,Eurema,-26.584931,151.806986
Nacaduba kurava,1,2020,2,Queensland,Lycaenidae,Nacaduba,-17.56,145.58
Lampides boeticus,5,2022,10,Queensland,Lycaenidae,Lampides,-26.802252,151.562557
Acraea andromacha,1,2022,2,Queensland,Nymphalidae,Acraea,-17.3,145.3
Phaedyma shepherdi,1,2023,7,Queensland,Nymphalidae,Phaedyma,-17.31236,145.58744
Belenois java,7,2020,3,Queensland,Pieridae,Belenois,-27.53,152.99
Hypolimnas alimena,1,2022,3,Northern Territory,Nymphalidae,Hypolimnas,-13.49632,131.03578
Heteronympha merope,12,2023,2,Victoria,Nymphalidae,Heteronympha,-38.2085,146.8453
Euploea corinna,3,2020,12,Queensland,Nymphalidae,Euploea,-26.584931,151.806986
Eurema herla,5,2021,2,Queensland,Pieridae,Eurema,-17.38,145.18
Junonia villida,12,2020,3,Australian Capital Territory,Nymphalidae,Junonia,-35.529228,149.078551
Toxidia melania,1,2020,2,Queensland,Hesperiidae,Toxidia,-17.56,145.58
Catopyrops florinda,1,2022,6,Queensland,Lycaenidae,Catopyrops,-16.1076,144.776466
Tirumala hamata,7,2020,4,Queensland,Nymphalidae,Tirumala,-26.41042,153.05563
Papilio (Princeps) ulysses,1,2021,3,Queensland,Papilionidae,Papilio,-17.31288,145.58711
Catopsilia pyranthe,3,2020,11,New South Wales,Pieridae,Catopsilia,-30.8186,152.1471
Tisiphone helena,1,2022,10,Queensland,Nymphalidae,Tisiphone,-16.882394,145.633176
Erina erina,3,2022,11,Queensland,Lycaenidae,Erina,-19.5654,144.0409
Doleschallia bisaltide,1,2020,2,Queensland,Nymphalidae,Doleschallia,-17.559167,145.496364
Candalides,1,2020,2,Queensland,Lycaenidae,Candalides,-17.56,145.58
Euploea corinna,2,2022,4,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Papilio (Princeps) ulysses,1,2020,3,Queensland,Papilionidae,Papilio,-17.27498,145.58346
Mycalesis,2,2021,3,Queensland,Nymphalidae,Mycalesis,-17.31288,145.58711
Papilio (Princeps) aegeus,2,2021,4,Queensland,Papilionidae,Papilio,-17.2652,145.4871
Suniana sunias,1,2020,9,Queensland,Hesperiidae,Suniana,-17.31245,145.5874
Cressida cressida,2,2022,10,Queensland,Papilionidae,Cressida,-24.0718,151.3051
Junonia villida,11,2020,3,Queensland,Nymphalidae,Junonia,-27.643444,152.754201
Cupha prosope,1,2020,2,Queensland,Nymphalidae,Cupha,-17.56,145.58
Euploea corinna,1,2020,11,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Acraea andromacha,1,2020,3,Queensland,Nymphalidae,Acraea,-27.53284,153.05343
Ocybadistes walkeri,2,2023,1,Queensland,Hesperiidae,Ocybadistes,-27.70732,152.89782
Anthene lycaenoides,1,2020,4,Queensland,Lycaenidae,Anthene,-27.535,152.993
Psychonotis caelius,1,2022,2,Queensland,Lycaenidae,Psychonotis,-27.54299,153.06306
Vanessa itea,1,2023,2,Victoria,Nymphalidae,Vanessa,-38.4214,146.5772
Euploea corinna,1,2021,9,Queensland,Nymphalidae,Euploea,-20.078705,148.483133
Melanitis leda,2,2021,3,Queensland,Nymphalidae,Melanitis,-17.38,145.18
Papilio (Princeps) aegeus,1,2022,4,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Eirmocides absimilis,1,2022,7,Queensland,Lycaenidae,Eirmocides,-27.40496,153.02836
Graphium eurypylus,2,2022,11,Queensland,Papilionidae,Graphium,-27.51623,152.86335
Cressida cressida,30,2021,3,Queensland,Papilionidae,Cressida,-17.38,145.18
Belenois java,2,2020,6,Queensland,Pieridae,Belenois,-26.584931,151.806986
Theclinesthes miskini,2,2022,9,Queensland,Lycaenidae,Theclinesthes,-20.5248,144.4148
Mydosama terminus,1,2021,10,Queensland,Nymphalidae,Mydosama,-17.569375,145.897928
Erina erina,2,2021,10,Queensland,Lycaenidae,Erina,-17.3235,145.7429
Eurema hecabe,1,2022,4,Queensland,Pieridae,Eurema,-24.88922,152.30706
Junonia villida,1,2020,3,Queensland,Nymphalidae,Junonia,-27.53257,153.05468
Zizina otis,1,2023,2,New South Wales,Lycaenidae,Zizina,-33.92246,150.93705
Hypocysta metirius,11,2020,10,Queensland,Nymphalidae,Hypocysta,-17.6005,145.5514
Eurema smilax,2,2020,8,Queensland,Pieridae,Eurema,-26.584931,151.806986
Ornithoptera euphorion,2,2021,3,Queensland,Papilionidae,Ornithoptera,-17.2951,145.6358
Delias argenthona,1,2020,3,New South Wales,Pieridae,Delias,-28.81447,153.27218
Cupha prosope,1,2021,2,Queensland,Nymphalidae,Cupha,-17.3788,145.3847
Euploea corinna,1,2022,11,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Junonia hedonia,15,2021,12,Queensland,Nymphalidae,Junonia,-17.2729,145.9457
Cupha prosope,1,2020,11,Queensland,Nymphalidae,Cupha,-17.31268,145.58729
Hypocysta metirius,20,2021,2,Queensland,Nymphalidae,Hypocysta,-17.8378,145.5962
Papilio (Princeps) aegeus,1,2022,11,New South Wales,Papilionidae,Papilio,-33.59363,151.17047
Zizina otis,10,2022,11,Queensland,Lycaenidae,Zizina,-19.4702,144.2571
Eurema smilax,1,2023,8,Queensland,Pieridae,Eurema,-20.84618,140.05157
Papilio (Princeps) aegeus,1,2022,10,Queensland,Papilionidae,Papilio,-25.0653,148.2472
Suniana sunias,1,2022,5,Queensland,Hesperiidae,Suniana,-24.88922,152.30706
Erysichton lineatus,1,2021,3,Queensland,Lycaenidae,Erysichton,-27.53877,153.06581
Elodina angulipennis,3,2022,10,New South Wales,Pieridae,Elodina,-33.86349,151.21534
Appias melania,3,2021,2,Queensland,Pieridae,Appias,-17.8378,145.5962
Junonia villida,3,2020,9,Queensland,Nymphalidae,Junonia,-26.584931,151.806986
Eurema smilax,8,2022,9,Queensland,Pieridae,Eurema,-25.3838,142.7175
Hypocysta adiante,3,2023,2,Queensland,Nymphalidae,Hypocysta,-27.07686,152.66638
Pieris rapae,3,2020,2,Queensland,Pieridae,Pieris,-27.53201,153.0545
Papilio (Princeps) aegeus,1,2022,11,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Belenois java,4,2022,11,New South Wales,Pieridae,Belenois,-30.47767,151.74018
Heteronympha merope,6,2023,1,Victoria,Nymphalidae,Heteronympha,-37.35565,144.15373
Doleschallia bisaltide,1,2022,10,Queensland,Nymphalidae,Doleschallia,-24.161,151.089
Zizina otis,10,2022,9,Queensland,Lycaenidae,Zizina,-20.001656,148.241641
Delias nigrina,2,2023,1,New South Wales,Pieridae,Delias,-34.9479,150.60959
Catopsilia pomona,20,2020,3,New South Wales,Pieridae,Catopsilia,-28.86854,153.5621
Euploea corinna,1,2022,12,Queensland,Nymphalidae,Euploea,-18.8595,146.1272
Eurema hecabe,2,2022,9,Queensland,Pieridae,Eurema,-24.88922,152.30706
Danaus petilia,2,2022,10,Queensland,Nymphalidae,Danaus,-19.745797,147.495769
Pieris rapae,1,2021,2,New South Wales,Pieridae,Pieris,-33.92233,150.93668
Pantoporia consimilis,1,2022,3,Queensland,Nymphalidae,Pantoporia,-12.7786,143.318
Geitoneura klugii,1,2023,3,Victoria,Nymphalidae,Geitoneura,-37.05139,146.09243
Hypolimnas alimena,1,2020,3,Queensland,Nymphalidae,Hypolimnas,-17.31249,145.5873
Vagrans egista,1,2022,2,Queensland,Nymphalidae,Vagrans,-17.31244,145.58733
Arrhenes dschilus,3,2022,3,Queensland,Hesperiidae,Arrhenes,-12.7768,143.3193
Delias ennia,1,2021,3,Queensland,Pieridae,Delias,-17.31265,145.58717
Rapala varuna,2,2022,5,Queensland,Lycaenidae,Rapala,-24.89759,152.27359
Heteronympha banksii,2,2021,4,Queensland,Nymphalidae,Heteronympha,-27.964827,152.379432
Papilio (Princeps) aegeus,1,2022,11,Queensland,Papilionidae,Papilio,-17.09271,144.3959
Belenois java,6,2020,4,New South Wales,Pieridae,Belenois,-28.86287,153.5506
Heteronympha merope,1,2017,11,New South Wales,Nymphalidae,Heteronympha,-34.7919,150.7803
Euploea corinna,1,2020,1,Queensland,Nymphalidae,Euploea,-27.48329,153.15989
Papilio (Princeps) fuscus,1,2022,12,Queensland,Papilionidae,Papilio,-18.8595,146.1272
Zizina otis,6,2022,10,Queensland,Lycaenidae,Zizina,-23.535925,148.167161
Hypolimnas alimena,1,2023,7,Queensland,Nymphalidae,Hypolimnas,-12.17748,141.89608
Papilio (Eleppone) anactus,3,2020,12,Queensland,Papilionidae,Papilio,-13.966844,143.191746
Delias nigrina,10,2021,12,Queensland,Pieridae,Delias,-17.462138,145.458883
Phaedyma shepherdi,1,2022,6,Queensland,Nymphalidae,Phaedyma,-15.4998,145.2748
Danaus petilia,2,2021,1,Queensland,Nymphalidae,Danaus,-18.3118,143.7766
Melanitis leda,1,2022,12,Queensland,Nymphalidae,Melanitis,-27.31815,153.05523
Heteronympha mirifica,1,2023,3,New South Wales,Nymphalidae,Heteronympha,-33.6197,151.1408
Badamia exclamationis,15,2022,10,Queensland,Hesperiidae,Badamia,-16.843729,145.698304
Psychonotis caelius,1,2020,11,Queensland,Lycaenidae,Psychonotis,-17.2874,145.427295
Hypocysta metirius,1,2021,9,Australian Capital Territory,Nymphalidae,Hypocysta,-35.14081,150.71539
Graphium choredon,1,2021,12,Queensland,Papilionidae,Graphium,-17.462138,145.458883
Hypolimnas bolina,1,2020,2,Queensland,Nymphalidae,Hypolimnas,-17.3526,145.58209
Cepora perimale,1,2021,2,Queensland,Pieridae,Cepora,-27.54284,153.0725
Euploea corinna,1,2020,5,Queensland,Nymphalidae,Euploea,-24.91215,152.48472
Melanitis leda,1,2023,3,Queensland,Nymphalidae,Melanitis,-26.60854,153.0228
Zizina otis,50,2022,6,Queensland,Lycaenidae,Zizina,-15.671454,145.021612
Euploea corinna,1,2023,3,Queensland,Nymphalidae,Euploea,-27.4051,153.0287
Tagiades japetus,4,2022,4,Queensland,Hesperiidae,Tagiades,-16.46969,145.37293
Mycalesis,5,2020,11,Queensland,Nymphalidae,Mycalesis,-17.31262,145.58733
Melanitis leda,1,2022,6,Queensland,Nymphalidae,Melanitis,-15.4998,145.2748
Anthene seltuttus,1,2023,4,Queensland,Lycaenidae,Anthene,-23.17934,150.79443
Telicota colon,2,2020,4,Queensland,Hesperiidae,Telicota,-27.53188,153.05604
Catopsilia pomona,2,2020,3,New South Wales,Pieridae,Catopsilia,-32.78261,151.73801
Belenois java,4,2019,11,Queensland,Pieridae,Belenois,-27.497664,153.012787
Catochrysops panormus,1,2022,4,Queensland,Lycaenidae,Catochrysops,-24.75932,152.39933
Catopsilia pomona,1,2019,11,Queensland,Pieridae,Catopsilia,-27.4966,153.002458
Arrhenes dschilus,20,2023,8,Queensland,Hesperiidae,Arrhenes,-17.4105,145.9795
Pieris rapae,1,2021,10,New South Wales,Pieridae,Pieris,-33.92231,150.9368
Graphium agamemnon,1,2022,10,Queensland,Papilionidae,Graphium,-20.9948,148.7041
Graphium choredon,1,2022,2,Queensland,Papilionidae,Graphium,-27.53044,153.03604
Euploea corinna,3,2022,11,Queensland,Nymphalidae,Euploea,-19.5377,144.2055
Junonia villida,4,2023,4,Queensland,Nymphalidae,Junonia,-17.313756,145.585965
Eurema hecabe,1,2022,10,Queensland,Pieridae,Eurema,-24.95367,150.07545
Charaxes sempronius,1,2020,9,Queensland,Nymphalidae,Charaxes,-16.48805,145.46487
Zizina otis,2,2020,2,Queensland,Lycaenidae,Zizina,-28.01952,153.33842
Pachliopta polydorus,1,2022,5,Queensland,Papilionidae,Pachliopta,-17.312454,145.5872
Hypocysta metirius,20,2023,1,New South Wales,Nymphalidae,Hypocysta,-34.9479,150.60959
Papilio (Princeps) aegeus,1,2022,11,Queensland,Papilionidae,Papilio,-27.55188,152.97441
Geitoneura klugii,12,2023,1,New South Wales,Nymphalidae,Geitoneura,-29.08629,151.96631
Suniana sunias,1,2022,2,Queensland,Hesperiidae,Suniana,-16.5367,145.3866
Cressida cressida,1,2020,11,Queensland,Papilionidae,Cressida,-26.584931,151.806986
Catopsilia pyranthe,1,2020,4,Queensland,Pieridae,Catopsilia,-26.36643,152.86034
Graphium macleayanum,1,2020,10,Queensland,Papilionidae,Graphium,-17.2862,145.4578
Junonia hedonia,3,2022,5,Queensland,Nymphalidae,Junonia,-17.312454,145.5872
Mydosama terminus,8,2022,12,Queensland,Nymphalidae,Mydosama,-19.0808,146.3802
Cupha prosope,2,2019,11,Queensland,Nymphalidae,Cupha,-23.10617,150.74162
Melanitis leda,1,2020,4,Queensland,Nymphalidae,Melanitis,-27.5792,153.07648
Euploea corinna,1,2020,2,Queensland,Nymphalidae,Euploea,-26.4104,153.05559
Pieris rapae,2,2020,10,Queensland,Pieridae,Pieris,-26.584931,151.806986
Catopsilia pomona,1,2021,9,Queensland,Pieridae,Catopsilia,-24.88922,152.30706
Danaus plexippus,10,2022,1,Queensland,Nymphalidae,Danaus,-17.3297,145.5028
Danaus petilia,4,2020,3,New South Wales,Nymphalidae,Danaus,-28.33101,153.53707
Eurema hecabe,1,2023,6,Queensland,Pieridae,Eurema,-10.5792,142.21488
Papilio (Princeps) ulysses,1,2020,2,Queensland,Papilionidae,Papilio,-16.91867,145.75437
Junonia villida,1,2020,2,Tasmania,Nymphalidae,Junonia,-42.88324,147.3325
Cupha prosope,1,2021,3,Queensland,Nymphalidae,Cupha,-17.31172,145.58891
Trapezites eliena,1,2022,11,Queensland,Hesperiidae,Trapezites,-27.97538,151.63079
Delias argenthona,1,2021,3,Queensland,Pieridae,Delias,-24.88922,152.30706
Danaus petilia,1,2021,2,Queensland,Nymphalidae,Danaus,-17.4736,146.0694
Belenois java,1,2023,1,Queensland,Pieridae,Belenois,-27.53864,153.06586
Appias paulina,4,2022,12,New South Wales,Pieridae,Appias,-30.81252,152.92021
Psychonotis caelius,2,2021,10,Queensland,Lycaenidae,Psychonotis,-17.33076,145.73437
Junonia villida,1,2020,4,Queensland,Nymphalidae,Junonia,-27.5792,153.07648
Eurema hecabe,1,2020,3,Queensland,Pieridae,Eurema,-26.4105,153.05565
Hypocysta pseudirius,4,2022,11,Queensland,Nymphalidae,Hypocysta,-27.97538,151.63079
Papilio (Princeps) aegeus,1,2022,1,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Danaus petilia,5,2021,3,Queensland,Nymphalidae,Danaus,-24.79663,152.44038
Catopsilia pomona,1,2020,3,Queensland,Pieridae,Catopsilia,-27.51225,153.0333
Cepora perimale,1,2022,10,Queensland,Pieridae,Cepora,-24.8847,150.9805
Eurema hecabe,1,2020,8,Queensland,Pieridae,Eurema,-17.31256,145.58716
Papilio (Princeps) aegeus,2,2021,2,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Cepora perimale,1,2020,3,Queensland,Pieridae,Cepora,-17.27516,145.58344
Appias paulina,1,2022,2,Queensland,Pieridae,Appias,-26.584931,151.806986
Leptotes plinius,4,2023,1,Queensland,Lycaenidae,Leptotes,-24.88922,152.30706
Netrocoryne repanda,8,2022,12,Queensland,Hesperiidae,Netrocoryne,-27.6139,152.03711
Pieris rapae,1,2019,10,Queensland,Pieridae,Pieris,-27.53083,153.05639
Cupha prosope,1,2019,11,Queensland,Nymphalidae,Cupha,-23.1182,150.73338
Tirumala hamata,1,2020,2,Queensland,Nymphalidae,Tirumala,-26.41039,153.05558
Euploea corinna,1,2020,12,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Catopsilia pomona,3,2022,2,Queensland,Pieridae,Catopsilia,-17.31244,145.58733
Graphium choredon,1,2020,3,Queensland,Papilionidae,Graphium,-26.41042,153.05563
Suniana sunias,2,2023,4,Queensland,Hesperiidae,Suniana,-24.88922,152.30706
Junonia hedonia,1,2022,1,Queensland,Nymphalidae,Junonia,-16.5993,145.5221
Graphium eurypylus,1,2019,11,Queensland,Papilionidae,Graphium,-23.89574,151.25846
Hypolimnas bolina,1,2021,10,Queensland,Nymphalidae,Hypolimnas,-27.5388,153.06591
Zizina otis,11,2022,2,Victoria,Lycaenidae,Zizina,-37.77834,145.00454
Euploea corinna,1,2021,4,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Tellervo zoilus,3,2023,2,Queensland,Nymphalidae,Tellervo,-17.31244,145.58733
Vanessa kershawi,1,2022,1,Western Australia,Nymphalidae,Vanessa,-33.603236,115.438113
Euploea corinna,2,2021,2,Queensland,Nymphalidae,Euploea,-24.88922,152.30706
Papilio (Princeps) aegeus,3,2021,3,Queensland,Papilionidae,Papilio,-27.53877,153.06581
Cressida cressida,1,2022,1,Queensland,Papilionidae,Cressida,-23.34467,150.52447
Papilio (Princeps) aegeus,1,2021,3,Queensland,Papilionidae,Papilio,-25.4227,152.91706
Euploea corinna,2,2021,1,Queensland,Nymphalidae,Euploea,-27.53864,153.06622
Eurema hecabe,1,2022,12,Queensland,Pieridae,Eurema,-24.88922,152.30706
Trapezites eliena,1,2022,10,Queensland,Hesperiidae,Trapezites,-27.54218,153.06724
Graphium agamemnon,12,2022,2,Queensland,Papilionidae,Graphium,-17.31252,145.587222
Zizina otis,2,2022,11,Queensland,Lycaenidae,Zizina,-24.88922,152.30706
Graphium eurypylus,1,2022,5,Queensland,Papilionidae,Graphium,-16.6544,145.5671
Lucia limbaria,1,2021,2,Australian Capital Territory,Lycaenidae,Lucia,-35.23883,149.16253
Danaus affinis,2,2022,7,Queensland,Nymphalidae,Danaus,-12.78065,143.3091
Papilio (Princeps) fuscus,1,2020,12,Queensland,Papilionidae,Papilio,-26.01128,152.23063
Danaus petilia,1,2022,3,Northern Territory,Nymphalidae,Danaus,-13.49632,131.03578
Papilio (Princeps) aegeus,2,2020,11,Queensland,Papilionidae,Papilio,-27.54286,153.07245
Euploea darchia,1,2022,2,Queensland,Nymphalidae,Euploea,-17.31252,145.587222
Leptotes plinius,17,2022,10,Queensland,Lycaenidae,Leptotes,-24.88922,152.30706
Zizula hylax,5,2019,11,Queensland,Lycaenidae,Zizula,-27.53283,153.0543
Belenois java,10,2020,3,Queensland,Pieridae,Belenois,-27.52954,153.05779
Papilio (Princeps) fuscus,1,2020,2,Queensland,Papilionidae,Papilio,-16.87474,145.67311
Cressida cressida,1,2022,11,Queensland,Papilionidae,Cressida,-27.39982,152.80746
Hypochrysops ignitus,1,2022,3,Northern Territory,Lycaenidae,Hypochrysops,-13.49632,131.03578
Appias paulina,1,2023,4,Queensland,Pieridae,Appias,-17.3128,145.587158
Delias argenthona,2,2020,2,Queensland,Pieridae,Delias,-17.31128,145.58855
Leptotes plinius,14,2022,3,Queensland,Lycaenidae,Leptotes,-24.88922,152.30706
Pieris rapae,50,2023,2,Victoria,Pieridae,Pieris,-38.1144,147.0792
Trapezites eliena,4,2022,11,Queensland,Hesperiidae,Trapezites,-27.48576,152.95151
Theclinesthes miskini,1,2023,8,Queensland,Lycaenidae,Theclinesthes,-22.5626,139.98805
Neolucia agricola,4,2020,9,Queensland,Lycaenidae,Neolucia,-23.85169,149.09619
Zizula hylax,33,2019,12,Queensland,Lycaenidae,Zizula,-27.53243,153.05461
Mycalesis,3,2020,5,Queensland,Nymphalidae,Mycalesis,-17.31235,145.5873
Nacaduba biocellata,20,2023,8,Queensland,Lycaenidae,Nacaduba,-24.22382,139.45933
Cephrenes augiades,1,2023,4,Queensland,Hesperiidae,Cephrenes,-24.88922,152.30706
Graphium choredon,1,2020,10,Queensland,Papilionidae,Graphium,-26.39226,153.09271
Jamides phaseli,1,2022,2,Queensland,Lycaenidae,Jamides,-17.95291,146.09105
Appias paulina,1,2023,4,Queensland,Pieridae,Appias,-17.3118,145.58736
Catopsilia pomona,1,2021,2,Queensland,Pieridae,Catopsilia,-27.4689,153.01963
Zizina otis,2,2022,12,Queensland,Lycaenidae,Zizina,-27.38618,152.78582
Heteronympha merope,50,2023,3,Victoria,Nymphalidae,Heteronympha,-37.27787,144.82247
Hypolimnas bolina,1,2021,11,Queensland,Nymphalidae,Hypolimnas,-18.006334,145.279114
Delias argenthona,1,2023,4,Queensland,Pieridae,Delias,-24.88922,152.30706
Tisiphone helena,20,2022,2,Queensland,Nymphalidae,Tisiphone,-16.5367,145.3866
Vanessa kershawi,1,2021,10,Victoria,Nymphalidae,Vanessa,-37.35521,144.15338
Vagrans egista,1,2023,4,Queensland,Nymphalidae,Vagrans,-17.3118,145.58736
Junonia villida,6,2023,3,Victoria,Nymphalidae,Junonia,-36.32629,146.92155
Papilio (Eleppone) anactus,3,2023,1,Queensland,Papilionidae,Papilio,-27.54254,153.07317
Arhopala eupolis,5,2022,2,Queensland,Lycaenidae,Arhopala,-17.82147,146.10269
Vanessa kershawi,2,2020,11,Victoria,Nymphalidae,Vanessa,-37.35544,144.15346
Tirumala hamata,1,2020,3,Queensland,Nymphalidae,Tirumala,-27.52897,153.03122
Euploea corinna,1,2020,1,Queensland,Nymphalidae,Euploea,-27.53973,153.04298
Papilio (Princeps) ulysses,1,2020,5,Queensland,Papilionidae,Papilio,-17.31258,145.58717
Papilio (Princeps) ulysses,3,2023,4,Queensland,Papilionidae,Papilio,-17.3118,145.58736
Cressida cressida,1,2022,2,Queensland,Papilionidae,Cressida,-27.53044,153.03604
Cupha prosope,3,2020,11,Queensland,Nymphalidae,Cupha,-17.31246,145.58727
Junonia hedonia,3,2022,2,Queensland,Nymphalidae,Junonia,-17.82147,146.10269
Vanessa kershawi,3,2022,11,New South Wales,Nymphalidae,Vanessa,-34.67439,150.71239
Vanessa itea,1,2020,1,Australian Capital Territory,Nymphalidae,Vanessa,-35.23882,149.16246
Delias ennia,2,2022,11,Queensland,Pieridae,Delias,-17.3126,145.58713
Euploea corinna,1,2020,1,Queensland,Nymphalidae,Euploea,-27.50894,153.08057
Papilio (Princeps) ambrax,1,2020,3,Queensland,Papilionidae,Papilio,-17.59002,145.4926
Ypthima arctous,2,2022,2,Queensland,Nymphalidae,Ypthima,-17.92825,146.08812
Mydosama terminus,15,2022,2,Queensland,Nymphalidae,Mydosama,-17.72382,145.93388
Nacaduba kurava,1,2022,3,Queensland,Lycaenidae,Nacaduba,-24.86729,152.36714
Hesperilla donnysa,2,2019,11,New South Wales,Hesperiidae,Hesperilla,-33.50875,150.28553
Zizina otis,4,2023,3,Victoria,Lycaenidae,Zizina,-36.69104,146.98792
Papilio (Princeps) aegeus,6,2022,12,Queensland,Papilionidae,Papilio,-28.0951,153.45639
Papilio (Princeps) aegeus,1,2019,12,Queensland,Papilionidae,Papilio,-26.39069,153.09717
Tirumala hamata,1,2020,2,Queensland,Nymphalidae,Tirumala,-28.01953,153.33852
Hypolimnas bolina,5,2022,2,Queensland,Nymphalidae,Hypolimnas,-16.90149,145.75168
Vanessa kershawi,1,2022,10,New South Wales,Nymphalidae,Vanessa,-33.64083,151.12453
Tirumala hamata,1,2020,2,Queensland,Nymphalidae,Tirumala,-25.55538,152.64901
Vanessa kershawi,1,2020,12,Victoria,Nymphalidae,Vanessa,-38.63977,143.88536
Hypocysta metirius,3,2022,5,New South Wales,Nymphalidae,Hypocysta,-30.35664,153.10443
Lampides boeticus,1,2022,10,Queensland,Lycaenidae,Lampides,-24.9938,148.6897
Delias nysa,1,2019,4,New South Wales,Pieridae,Delias,-29.42957,153.32528
Papilio (Princeps) demoleus,3,2022,2,South Australia,Papilionidae,Papilio,-35.0326,138.55932
Delias argenthona,1,2022,4,Queensland,Pieridae,Delias,-17.31247,145.58724
Delias ennia,2,2023,4,Queensland,Pieridae,Delias,-17.3128,145.587158
Elodina walkeri,1,2023,7,Queensland,Pieridae,Elodina,-15.51808,144.83768
Vanessa itea,1,2020,6,Victoria,Nymphalidae,Vanessa,-37.66462,143.90993
Vanessa kershawi,1,2020,11,Victoria,Nymphalidae,Vanessa,-37.76966,145.00064
Hypolimnas bolina,5,2022,2,Queensland,Nymphalidae,Hypolimnas,-16.6357,145.3261
Psychonotis caelius,2,2022,6,Queensland,Lycaenidae,Psychonotis,-16.1076,144.776466
Pieris rapae,1,2020,4,Queensland,Pieridae,Pieris,-17.27501,145.5835
Vanessa kershawi,1,2020,9,Victoria,Nymphalidae,Vanessa,-37.40971,144.39764
Junonia hedonia,1,2021,7,Queensland,Nymphalidae,Junonia,-16.79997,145.35919
Arhopala eupolis,1,2019,12,Northern Territory,Lycaenidae,Arhopala,-12.43967,130.83848
Toxidia peron,1,2020,1,New South Wales,Hesperiidae,Toxidia,-28.30583,153.515905
Papilio (Princeps) aegeus,1,2021,2,Queensland,Papilionidae,Papilio,-17.31259,145.5872
Eurema smilax,3,2020,5,Queensland,Pieridae,Eurema,-26.5871,151.8063
Catopsilia pomona,1,2019,12,Queensland,Pieridae,Catopsilia,-26.41046,153.05551
Tirumala hamata,7,2020,9,Queensland,Nymphalidae,Tirumala,-22.80797,150.8049
Appias paulina,1,2023,1,Queensland,Pieridae,Appias,-27.53866,153.06599
Psychonotis caelius,2,2020,8,Queensland,Lycaenidae,Psychonotis,-17.31315,145.58691
Suniana sunias,1,2022,12,Queensland,Hesperiidae,Suniana,-17.31175,145.58884
Euploea corinna,1,2021,1,Queensland,Nymphalidae,Euploea,-27.5425,153.06822
Ocybadistes walkeri,2,2022,2,Victoria,Hesperiidae,Ocybadistes,-37.82442,145.20925
Ocybadistes walkeri,1,2023,2,Victoria,Hesperiidae,Ocybadistes,-37.82427,145.2093
Tirumala hamata,1,2021,11,Queensland,Nymphalidae,Tirumala,-27.47921,153.0237
Papilio (Eleppone) anactus,2,2019,11,Victoria,Papilionidae,Papilio,-37.79625,145.2925
Nacaduba kurava,1,2023,2,Queensland,Lycaenidae,Nacaduba,-17.33887,145.62429
Delias nigrina,1,2022,11,New South Wales,Pieridae,Delias,-33.64213,151.12541
Catopsilia pomona,1,2020,8,Queensland,Pieridae,Catopsilia,-17.31267,145.58715
Tirumala hamata,1,2021,3,Queensland,Nymphalidae,Tirumala,-24.88922,152.30706
Delias argenthona,1,2023,5,Queensland,Pieridae,Delias,-17.31244,145.58736
Zizina otis,10,2022,1,Queensland,Lycaenidae,Zizina,-16.5993,145.5221
Tirumala hamata,3,2020,11,Queensland,Nymphalidae,Tirumala,-27.54108,153.07294
Neolucia agricola,200,2022,10,Queensland,Lycaenidae,Neolucia,-27.0768,152.66638
Hypolimnas bolina,1,2023,3,Queensland,Nymphalidae,Hypolimnas,-17.31246,145.58736
Papilio (Eleppone) anactus,1,2022,2,Queensland,Papilionidae,Papilio,-27.52538,152.88813
Danaus petilia,1,2020,4,Queensland,Nymphalidae,Danaus,-26.41027,153.05577
Tirumala hamata,1,2021,10,Queensland,Nymphalidae,Tirumala,-27.49597,153.04789
Eurema hecabe,4,2020,3,Queensland,Pieridae,Eurema,-28.01947,153.33845
Eurema alitha,2,2021,3,Queensland,Pieridae,Eurema,-17.3124,145.58736
Danaus plexippus,1,2020,9,Queensland,Nymphalidae,Danaus,-17.31233,145.58734
Euploea tulliolus,1,2023,5,Queensland,Nymphalidae,Euploea,-17.5696,145.8983
Tirumala hamata,1,2020,8,Queensland,Nymphalidae,Tirumala,-17.31146,145.58846
Danaus petilia,1,2020,6,New South Wales,Nymphalidae,Danaus,-33.92236,150.93677
Tirumala hamata,25,2021,2,Queensland,Nymphalidae,Tirumala,-27.48068,153.02438
Graphium choredon,10,2021,2,Queensland,Papilionidae,Graphium,-27.53881,153.0658
