scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Danaus plexippus,1,2023,3,New South Wales,Nymphalidae,Danaus,-33.59357,151.17067
Euploea darchia,1,2023,5,Queensland,Nymphalidae,Euploea,-17.31239,145.58741
Geitoneura acantha,1,2023,2,Victoria,Nymphalidae,Geitoneura,-37.55034,147.86872
Graphium choredon,1,2023,2,Queensland,Papilionidae,Graphium,-26.38957,152.97456
Vanessa kershawi,40,2023,1,New South Wales,Nymphalidae,Vanessa,-29.08455,151.96778
Geitoneura klugii,1,2023,3,Victoria,Nymphalidae,Geitoneura,-37.7067,145.6815
Hasora chromus,1,2023,1,Queensland,Hesperiidae,Hasora,-27.40504,153.02836
Danaus petilia,3,2023,2,Victoria,Nymphalidae,Danaus,-36.32683,146.92104
Belenois java,1,2023,8,Queensland,Pieridae,Belenois,-22.79837,139.81409
Ornithoptera euphorion,2,2023,5,Queensland,Papilionidae,Ornithoptera,-17.31244,145.58736
Pieris rapae,3,2023,2,New South Wales,Pieridae,Pieris,-33.92242,150.9371
Junonia hedonia,1,2023,5,Queensland,Nymphalidae,Junonia,-17.5969,146.1172
Papilio (Eleppone) anactus,1,2023,2,Queensland,Papilionidae,Papilio,-27.07686,152.66638
Theclinesthes onycha,1,2023,4,Queensland,Lycaenidae,Theclinesthes,-24.88922,152.30706
Heteronympha merope,4,2023,2,Tasmania,Nymphalidae,Heteronympha,-41.13046,146.54356
Heteronympha merope,2,2023,2,Victoria,Nymphalidae,Heteronympha,-37.83902,145.18861
Acraea terpsicore,2,2023,6,Queensland,Nymphalidae,Acraea,-17.85683,145.44638
Delias nigrina,2,2023,2,New South Wales,Pieridae,Delias,-33.64204,151.12532
Heteronympha merope,4,2023,2,Victoria,Nymphalidae,Heteronympha,-37.7212,145.05074
Ocybadistes walkeri,1,2023,6,New South Wales,Hesperiidae,Ocybadistes,-33.92227,150.93706
Euchrysops cnejus,2,2023,8,Queensland,Lycaenidae,Euchrysops,-17.96777,140.902
Heteronympha merope,1,2023,3,Victoria,Nymphalidae,Heteronympha,-37.10672,146.11076
Acraea andromacha,1,2023,1,New South Wales,Nymphalidae,Acraea,-30.35708,153.10816
Zizina otis,3,2023,2,Queensland,Lycaenidae,Zizina,-27.04171,152.68936
Melanitis leda,1,2023,1,Queensland,Nymphalidae,Melanitis,-27.70732,152.89782
Pieris rapae,10,2023,3,Victoria,Pieridae,Pieris,-37.37535,144.57833
Pieris rapae,1,2023,5,New South Wales,Pieridae,Pieris,-32.33154,152.53887
Vagrans egista,1,2023,2,Queensland,Nymphalidae,Vagrans,-17.31244,145.58733
Delias ennia,2,2023,4,Queensland,Pieridae,Delias,-17.3118,145.58736
Ypthima arctous,1,2023,5,Queensland,Nymphalidae,Ypthima,-17.5118,146.0629
Tisiphone abeona,1,2023,2,Victoria,Nymphalidae,Tisiphone,-37.3321,149.0133
Erina hyacinthina,1,2023,1,Queensland,Lycaenidae,Erina,-27.54254,153.07317
Tirumala hamata,1,2023,5,Queensland,Nymphalidae,Tirumala,-17.5118,146.0629
Hypocysta metirius,1,2023,2,New South Wales,Nymphalidae,Hypocysta,-33.5933,151.17169
Eurema hecabe,1,2023,5,Queensland,Pieridae,Eurema,-17.3781,145.38465
Delias nigrina,4,2023,7,Queensland,Pieridae,Delias,-17.31313,145.587
Euploea corinna,2,2023,2,New South Wales,Nymphalidae,Euploea,-33.92238,150.9372
Graphium eurypylus,1,2023,2,Queensland,Papilionidae,Graphium,-27.04171,152.68936
Danaus plexippus,1,2023,2,New South Wales,Nymphalidae,Danaus,-33.9224,150.93663
Theclinesthes miskini,1,2023,2,Queensland,Lycaenidae,Theclinesthes,-27.71808,152.8789
Trapezites eliena,2,2023,2,Queensland,Hesperiidae,Trapezites,-26.38818,152.97341
Ogyris zosine,1,2023,2,Queensland,Lycaenidae,Ogyris,-27.71808,152.8789
Danaus affinis,1,2023,5,New South Wales,Nymphalidae,Danaus,-30.74412,152.99812
Ocybadistes walkeri,1,2023,5,Queensland,Hesperiidae,Ocybadistes,-17.3781,145.38465
Delias mysis,2,2023,1,Queensland,Pieridae,Delias,-17.3286,145.5046
Arrhenes dschilus,12,2023,8,Queensland,Hesperiidae,Arrhenes,-17.3141,145.961
Ogyris olane,1,2023,1,Queensland,Lycaenidae,Ogyris,-28.28323,152.72626
Delias argenthona,1,2023,3,Queensland,Pieridae,Delias,-26.60854,153.0228
Famegana,1,2023,5,Queensland,Lycaenidae,Famegana,-17.3721,145.3159
Deudorix democles,1,2023,7,Queensland,Lycaenidae,Deudorix,-15.48913,144.8166
Pieris rapae,1,2023,1,Australian Capital Territory,Pieridae,Pieris,-35.41476,148.79044
Heteronympha solandri,15,2023,3,Victoria,Nymphalidae,Heteronympha,-37.1442,146.4564
Ogyris barnardi,1,2023,2,Queensland,Lycaenidae,Ogyris,-27.98,151.62
Mydosama terminus,3,2023,5,Queensland,Nymphalidae,Mydosama,-17.31311,145.58689
Jalmenus evagoras,1,2023,1,Victoria,Lycaenidae,Jalmenus,-37.72421,145.04745
Heteronympha penelope,3,2023,3,Victoria,Nymphalidae,Heteronympha,-37.89438,145.36797
Candalides xanthospilos,2,2023,1,New South Wales,Lycaenidae,Candalides,-34.9479,150.60959
Cyprotides cyprotus,1,2023,4,Queensland,Lycaenidae,Cyprotides,-27.71801,152.87895
Jamides phaseli,8,2023,5,Queensland,Lycaenidae,Jamides,-17.3781,145.38465
Hypolycaena danis,1,2023,1,Queensland,Lycaenidae,Hypolycaena,-17.31256,145.58716
Eurema hecabe,2,2023,2,Queensland,Pieridae,Eurema,-17.31244,145.58733
Pieris rapae,12,2023,2,Victoria,Pieridae,Pieris,-36.32683,146.92104
Ornithoptera euphorion,1,2023,2,Queensland,Papilionidae,Ornithoptera,-16.82933,145.70314
Erina hyacinthina,6,2023,2,Queensland,Lycaenidae,Erina,-27.07686,152.66638
Jalmenus ictinus,2,2023,1,Queensland,Lycaenidae,Jalmenus,-27.70732,152.89782
Geitoneura klugii,2,2023,3,Victoria,Nymphalidae,Geitoneura,-36.69104,146.98792
Nacaduba berenice,12,2023,4,New South Wales,Lycaenidae,Nacaduba,-28.17911,153.53448
Vanessa kershawi,3,2023,1,Queensland,Nymphalidae,Vanessa,-27.7181,152.8789
Geitoneura klugii,5,2023,3,Victoria,Nymphalidae,Geitoneura,-38.6396,143.88812
Mycalesis perseus,4,2023,6,Queensland,Nymphalidae,Mycalesis,-17.85683,145.44638
Ocybadistes walkeri,1,2023,2,New South Wales,Hesperiidae,Ocybadistes,-35.06734,150.673
Vanessa kershawi,1,2023,1,Victoria,Nymphalidae,Vanessa,-38.63672,143.89094
Cupha prosope,7,2023,1,Queensland,Nymphalidae,Cupha,-17.31261,145.58713
Suniana sunias,2,2023,3,Queensland,Hesperiidae,Suniana,-27.62712,153.20103
Zizina otis,1,2023,1,New South Wales,Lycaenidae,Zizina,-33.30353,149.09444
Heteronympha merope,7,2023,1,New South Wales,Nymphalidae,Heteronympha,-33.64209,151.1254
Elodina padusa,1,2023,8,Queensland,Pieridae,Elodina,-21.68198,139.43482
Zizina otis,2,2023,1,Victoria,Lycaenidae,Zizina,-37.20506,145.00442
Suniana sunias,3,2023,3,Queensland,Hesperiidae,Suniana,-27.11697,152.75314
Delias mysis,8,2023,5,Queensland,Pieridae,Delias,-17.31244,145.58736
Graphium choredon,2,2023,3,New South Wales,Papilionidae,Graphium,-33.92233,150.93703
Belenois java,1,2023,8,Queensland,Pieridae,Belenois,-23.41707,139.66842
Pieris rapae,3,2023,3,New South Wales,Pieridae,Pieris,-33.92208,150.93658
Graphium choredon,1,2023,3,New South Wales,Papilionidae,Graphium,-28.83103,153.59637
Pelopidas agna,1,2023,2,Queensland,Hesperiidae,Pelopidas,-17.31244,145.58733
Delias mysis,2,2023,5,Queensland,Pieridae,Delias,-17.5696,145.8983
Vanessa itea,1,2023,3,Victoria,Nymphalidae,Vanessa,-37.14084,146.45937
Papilio (Princeps) demoleus,2,2023,4,Queensland,Papilionidae,Papilio,-17.3788,145.38465
Junonia hedonia,2,2023,5,Queensland,Nymphalidae,Junonia,-17.31244,145.58736
Telicota augias,1,2023,2,Queensland,Hesperiidae,Telicota,-16.785315,145.625243
Pieris rapae,2,2023,4,New South Wales,Pieridae,Pieris,-33.61735,151.1403
Psychonotis caelius,1,2023,2,Queensland,Lycaenidae,Psychonotis,-17.31239,145.58733
Acraea andromacha,70,2023,1,Queensland,Nymphalidae,Acraea,-27.70732,152.89782
Pelopidas agna,3,2023,6,Queensland,Hesperiidae,Pelopidas,-17.31241,145.5874
Delias harpalyce,2,2023,3,Victoria,Pieridae,Delias,-36.9928,144.3089
Heteronympha merope,1,2023,3,Queensland,Nymphalidae,Heteronympha,-27.07669,152.66628
Geitoneura acantha,1,2023,1,New South Wales,Nymphalidae,Geitoneura,-29.08455,151.96778
Mycalesis perseus,5,2023,6,Queensland,Nymphalidae,Mycalesis,-10.5959,142.2455
Ocybadistes flavovittatus,1,2023,5,Queensland,Hesperiidae,Ocybadistes,-17.3781,145.38465
Philiris nitens,1,2023,2,Queensland,Lycaenidae,Philiris,-17.31234,145.5873
Ocybadistes ardea,1,2023,7,Queensland,Hesperiidae,Ocybadistes,-15.49116,144.81911
Acraea terpsicore,1,2023,2,Queensland,Nymphalidae,Acraea,-26.39023,152.97501
Cepora perimale,4,2023,8,Queensland,Pieridae,Cepora,-17.44354,140.84256
Delias ennia,1,2023,7,Queensland,Pieridae,Delias,-17.31313,145.587
Cupha prosope,3,2023,1,Queensland,Nymphalidae,Cupha,-17.31256,145.58716
Jalmenus evagoras,4,2023,2,Victoria,Lycaenidae,Jalmenus,-37.72109,145.0512
Graphium choredon,3,2023,4,Queensland,Papilionidae,Graphium,-17.3118,145.58736
Catopsilia pomona,2,2023,1,Queensland,Pieridae,Catopsilia,-17.31256,145.58716
Melanitis leda,2,2023,3,Queensland,Nymphalidae,Melanitis,-25.9911,152.5564
Papilio (Princeps) aegeus,1,2023,1,New South Wales,Papilionidae,Papilio,-33.59357,151.1713
Telicota colon,1,2023,5,Queensland,Hesperiidae,Telicota,-17.589,146.09345
Papilio (Princeps) aegeus,2,2023,2,Queensland,Papilionidae,Papilio,-27.04094,152.68539
Tellervo zoilus,3,2023,8,Queensland,Nymphalidae,Tellervo,-17.27827,145.47307
Papilio (Eleppone) anactus,1,2023,3,Victoria,Papilionidae,Papilio,-36.80777,144.35855
Psychonotis caelius,1,2023,4,New South Wales,Lycaenidae,Psychonotis,-33.92237,150.9371
Ypthima arctous,5,2023,7,Queensland,Nymphalidae,Ypthima,-15.49557,144.81257
Eurema hecabe,2,2023,6,Queensland,Pieridae,Eurema,-17.31241,145.5874
Ocybadistes knightorum,2,2023,1,New South Wales,Hesperiidae,Ocybadistes,-30.35656,153.10465
Melanitis leda,1,2023,7,Queensland,Nymphalidae,Melanitis,-15.48913,144.8166
Hypocysta metirius,4,2023,1,New South Wales,Nymphalidae,Hypocysta,-33.59357,151.1713
Doleschallia bisaltide,1,2023,1,Queensland,Nymphalidae,Doleschallia,-17.31266,145.58717
Suniana sunias,1,2023,2,Queensland,Hesperiidae,Suniana,-24.88922,152.30706
Euploea sylvester,2,2023,7,Queensland,Nymphalidae,Euploea,-17.1652,144.5172
Elodina parthia,2,2023,1,Queensland,Pieridae,Elodina,-28.22452,153.11082
Leptotes plinius,8,2023,1,Queensland,Lycaenidae,Leptotes,-24.88922,152.30706
Geitoneura klugii,15,2023,2,Victoria,Nymphalidae,Geitoneura,-38.2319,146.9385
Catopsilia pomona,2,2023,2,Queensland,Pieridae,Catopsilia,-17.31249,145.58726
Hypolimnas bolina,3,2023,4,Queensland,Nymphalidae,Hypolimnas,-17.31246,145.58723
Trapezites symmomus,1,2023,1,Victoria,Hesperiidae,Trapezites,-37.72158,145.05071
Pelopidas agna,1,2023,6,Queensland,Hesperiidae,Pelopidas,-10.5783,142.2264
Papilio (Princeps) aegeus,1,2023,3,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Geitoneura acantha,1,2023,3,Victoria,Nymphalidae,Geitoneura,-36.6993,146.8521
Zizina otis,1,2023,3,Queensland,Lycaenidae,Zizina,-27.40086,153.03036
Heteronympha banksii,4,2023,4,New South Wales,Nymphalidae,Heteronympha,-33.61735,151.1403
Pieris rapae,6,2023,2,Victoria,Pieridae,Pieris,-37.712,148.6002
Pachliopta polydorus,1,2023,6,Queensland,Papilionidae,Pachliopta,-10.5792,142.21488
Pelopidas agna,2,2023,4,Queensland,Hesperiidae,Pelopidas,-17.3118,145.58736
Vanessa kershawi,1,2023,3,Victoria,Nymphalidae,Vanessa,-36.6583,146.9612
Suniana sunias,1,2023,5,Queensland,Hesperiidae,Suniana,-17.5118,146.0629
Ypthima arctous,2,2023,3,New South Wales,Nymphalidae,Ypthima,-33.5232,151.1035
Psychonotis caelius,5,2023,4,Queensland,Lycaenidae,Psychonotis,-17.313756,145.585965
Erina hyacinthina,3,2023,1,Queensland,Lycaenidae,Erina,-27.7181,152.8789
Acraea andromacha,1,2023,2,Queensland,Nymphalidae,Acraea,-27.5545,151.94318
Erina erina,5,2023,1,Queensland,Lycaenidae,Erina,-27.7181,152.8789
Delias nigrina,1,2023,2,Queensland,Pieridae,Delias,-17.31244,145.58733
Suniana sunias,2,2023,3,Queensland,Hesperiidae,Suniana,-24.88922,152.30706
Acraea andromacha,2,2023,3,Queensland,Nymphalidae,Acraea,-26.3712,152.83788
Euploea corinna,1,2023,3,Queensland,Nymphalidae,Euploea,-26.60854,153.0228
Hasora khoda,2,2023,3,Queensland,Hesperiidae,Hasora,-26.60808,153.02249
Mydosama terminus,4,2023,7,Queensland,Nymphalidae,Mydosama,-17.31313,145.587
Zizula hylax,3,2023,5,Queensland,Lycaenidae,Zizula,-17.5592,146.089
Leptotes plinius,1,2023,1,Queensland,Lycaenidae,Leptotes,-27.53807,153.06546
Catopsilia pomona,1,2023,3,Queensland,Pieridae,Catopsilia,-24.88922,152.30706
Zizina otis,2,2023,2,Victoria,Lycaenidae,Zizina,-37.7453,148.649
Belenois java,1,2023,8,Queensland,Pieridae,Belenois,-23.89206,139.5373
Papilio (Princeps) aegeus,1,2023,5,Queensland,Papilionidae,Papilio,-19.28863,146.7243
Zizina otis,6,2023,1,Victoria,Lycaenidae,Zizina,-38.6401,143.88888
Pieris rapae,2,2023,2,New South Wales,Pieridae,Pieris,-33.5933,151.17169
Catopsilia pomona,1,2023,2,Queensland,Pieridae,Catopsilia,-17.31234,145.5873
Erina hyacinthina,4,2023,4,Queensland,Lycaenidae,Erina,-27.71801,152.87895
Hypocysta adiante,1,2023,7,Queensland,Nymphalidae,Hypocysta,-18.2015,144.576
Acraea andromacha,4,2023,3,Queensland,Nymphalidae,Acraea,-27.5737,152.9254
Toxidia,1,2023,8,Queensland,Hesperiidae,Toxidia,-17.3944,145.6057
Heteronympha merope,60,2023,1,Victoria,Nymphalidae,Heteronympha,-37.20506,145.00442
Vanessa itea,1,2023,1,Queensland,Nymphalidae,Vanessa,-27.70732,152.89782
Hypocysta adiante,5,2023,1,Queensland,Nymphalidae,Hypocysta,-27.70732,152.89782
Suniana sunias,1,2023,6,Queensland,Hesperiidae,Suniana,-10.5963,142.3183
Toxidia,2,2023,3,Victoria,Hesperiidae,Toxidia,-36.6583,146.9612
Graphium agamemnon,1,2023,2,Queensland,Papilionidae,Graphium,-17.31244,145.58733
Delias ennia,2,2023,2,Queensland,Pieridae,Delias,-17.31244,145.58733
Cupha prosope,2,2023,2,Queensland,Nymphalidae,Cupha,-17.355,145.5867
Pieris rapae,1,2023,1,New South Wales,Pieridae,Pieris,-33.64219,151.1261
Hypocysta metirius,10,2023,2,Queensland,Nymphalidae,Hypocysta,-28.2296,152.4825
Dispar compacta,4,2023,1,Victoria,Hesperiidae,Dispar,-38.63673,143.89036
Oreixenica kershawi,1,2023,3,New South Wales,Nymphalidae,Oreixenica,-36.5254,148.1937
Cupha prosope,4,2023,4,Queensland,Nymphalidae,Cupha,-17.3118,145.58736
Delias mysis,1,2023,7,Queensland,Pieridae,Delias,-16.89898,145.7526
Vanessa kershawi,3,2023,1,Queensland,Nymphalidae,Vanessa,-27.65703,151.52721
Euploea corinna,1,2023,1,Queensland,Nymphalidae,Euploea,-27.7181,152.8789
Danaus plexippus,4,2023,1,Queensland,Nymphalidae,Danaus,-27.48516,152.9544
Delias mysis,3,2023,4,Queensland,Pieridae,Delias,-17.31246,145.58723
Lampides boeticus,1,2023,2,New South Wales,Lycaenidae,Lampides,-33.64204,151.12532
Delias aganippe,1,2023,5,Victoria,Pieridae,Delias,-35.45153,142.23439
Acraea andromacha,10,2023,1,Queensland,Nymphalidae,Acraea,-27.98241,152.62213
Papilio (Princeps) ulysses,1,2023,5,Queensland,Papilionidae,Papilio,-17.5839,146.0415
Delias argenthona,4,2023,3,Queensland,Pieridae,Delias,-27.5737,152.9254
Junonia villida,1,2023,6,Queensland,Nymphalidae,Junonia,-10.5834,142.296
Toxidia rietmanni,2,2023,3,Queensland,Hesperiidae,Toxidia,-28.1109,153.1922
Junonia hedonia,1,2023,4,Queensland,Nymphalidae,Junonia,-17.3118,145.58736
Delias mysis,6,2023,4,Queensland,Pieridae,Delias,-17.3118,145.58736
Zizina otis,1,2023,3,New South Wales,Lycaenidae,Zizina,-33.59357,151.17067
Ocybadistes ardea,1,2023,7,Queensland,Hesperiidae,Ocybadistes,-15.49557,144.81257
Euploea corinna,1,2023,1,Queensland,Nymphalidae,Euploea,-17.31261,145.58713
Zizina otis,2,2023,1,Queensland,Lycaenidae,Zizina,-27.65703,151.52721
Pieris rapae,30,2023,2,Victoria,Pieridae,Pieris,-37.6309,148.8865
Suniana sunias,3,2023,1,Queensland,Hesperiidae,Suniana,-17.3286,145.5046
Ocybadistes walkeri,1,2023,1,New South Wales,Hesperiidae,Ocybadistes,-30.35665,153.10443
Theclinesthes onycha,1,2023,1,Queensland,Lycaenidae,Theclinesthes,-27.96906,153.185
Heteronympha merope,3,2023,4,New South Wales,Nymphalidae,Heteronympha,-33.59353,151.17047
Catopsilia pomona,1,2023,1,Queensland,Pieridae,Catopsilia,-27.65703,151.52721
Mesodina halyzia,1,2023,1,New South Wales,Hesperiidae,Mesodina,-33.64219,151.1261
Papilio (Princeps) aegeus,1,2023,2,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Papilio (Princeps) aegeus,1,2023,4,Queensland,Papilionidae,Papilio,-24.88922,152.30706
Heteronympha merope,2,2023,1,Victoria,Nymphalidae,Heteronympha,-37.7238,145.051
Deudorix democles,1,2023,7,Queensland,Lycaenidae,Deudorix,-15.53038,144.83018
Acraea andromacha,3,2023,7,Queensland,Nymphalidae,Acraea,-24.1513,151.8853
Ogyris olane,5,2023,4,Queensland,Lycaenidae,Ogyris,-27.57363,152.9896
Geitoneura klugii,1,2023,3,Victoria,Nymphalidae,Geitoneura,-36.73583,146.80739
Lampides boeticus,4,2023,5,Queensland,Lycaenidae,Lampides,-24.75969,152.41167
Oreixenica kershawi,1,2023,3,Victoria,Nymphalidae,Oreixenica,-37.70746,145.68357
Arhopala eupolis,1,2023,7,Queensland,Lycaenidae,Arhopala,-15.4906,144.83407
Toxidia,2,2023,3,Queensland,Hesperiidae,Toxidia,-28.2242,153.1104
Trapezites symmomus,1,2023,1,New South Wales,Hesperiidae,Trapezites,-29.08629,151.96631
Danaus petilia,3,2023,2,Queensland,Nymphalidae,Danaus,-27.98,151.62
Trapezites symmomus,2,2023,2,Queensland,Hesperiidae,Trapezites,-28.2296,152.4825
Zizina otis,1,2023,2,New South Wales,Lycaenidae,Zizina,-33.92223,150.93668
Papilio (Princeps) aegeus,3,2023,7,Queensland,Papilionidae,Papilio,-15.48913,144.8166
Erina hyacinthina,6,2023,3,Queensland,Lycaenidae,Erina,-26.3712,152.83788
Delias harpalyce,5,2023,3,Victoria,Pieridae,Delias,-36.6583,146.9612
Mesodina halyzia,1,2023,3,New South Wales,Hesperiidae,Mesodina,-33.6197,151.1408
Delias mysis,3,2023,5,Queensland,Pieridae,Delias,-17.31239,145.58741
Mydosama terminus,7,2023,5,Queensland,Nymphalidae,Mydosama,-17.5696,145.8983
Sabera dobboe,1,2023,4,Queensland,Hesperiidae,Sabera,-17.3118,145.58736
Papilio (Princeps) demoleus,1,2023,8,Queensland,Papilionidae,Papilio,-24.93541,139.6503
Phaedyma shepherdi,1,2023,4,Queensland,Nymphalidae,Phaedyma,-17.3118,145.58736
Ornithoptera euphorion,1,2023,7,Queensland,Papilionidae,Ornithoptera,-17.31236,145.58744
Papilio (Princeps) aegeus,2,2023,4,Queensland,Papilionidae,Papilio,-17.3118,145.58736
Mydosama terminus,9,2023,7,Queensland,Nymphalidae,Mydosama,-17.31236,145.58744
Danaus plexippus,2,2023,1,Queensland,Nymphalidae,Danaus,-17.31261,145.58713
Euploea corinna,1,2023,4,New South Wales,Nymphalidae,Euploea,-33.92239,150.93715
Papilio (Princeps) aegeus,2,2023,2,New South Wales,Papilionidae,Papilio,-33.64204,151.12532
Telicota eurotas,2,2023,3,Queensland,Hesperiidae,Telicota,-17.31245,145.58736
Pieris rapae,1,2023,3,Victoria,Pieridae,Pieris,-36.94093,147.06155
Rapala varuna,4,2023,4,New South Wales,Lycaenidae,Rapala,-28.17911,153.53448
Psychonotis caelius,2,2023,2,Queensland,Lycaenidae,Psychonotis,-26.87938,152.73083
Phaedyma shepherdi,2,2023,6,Queensland,Nymphalidae,Phaedyma,-10.5792,142.21488
